date,display_date,description,link,series,html
1/1/1951,1951,The FDA first approves the use of the antibiotics penicillin and chlortetracycline as animal feed additives. ,,FDA Decisions,"<img src= ""https://www.propublica.org/images/fda_antibiotic_2.jpg"" width=""300"" height= ""400""/> "
1/1/1953,1953,FDA approves the use of the antibiotic oxytetracycline as an animal feed additive.,,FDA Decisions,"<img src= ""https://www.propublica.org/images/fda_antibiotic_1.jpg"" width=""300"" height= ""400""/> "
1/1/1969,"Nov. 20, 1969",A British government committee concludes that feeding animals low doses of antibiotics could pose a hazard to human health. It also links the rise of drug-resistant bacteria to agricultural use. ,,Potential Health Risks,"<img src= ""https://www.propublica.org/images/fda_antibiotic_pig.jpg"" width=""400"" height= ""300""/> "
2/1/1972,"Feb. 1, 1972","Concerned about the potential health risk to humans, the FDA convenes a task force to look into antibiotic use in animals. It concludes in a report that feeding animals antibiotics can foster antibiotic-resistant bacteria. As a result, the FDA says that manufacturers must demonstrate that the antibiotics are safe, or risk having their approval withdrawn.",,Potential Health Risks,"<img src= ""https://www.propublica.org/images/fda_antibiotic_cow.jpg"" width=""300"" height= ""400""/> "
9/9/1976,"Sept. 9, 1976",,,Potential Health Risks,"<p>A study by Tufts researcher Stuart Levy finds that after feeding chickens the antibiotic tetracycline, resistant bacteria appear in farm workers. The study concludes that ""the rise in frequency of resistant organisms in our environment is the obvious result of antibiotic usage.""</p><p><a class =""readmore"" href = ""http://www.nejm.org/doi/full/10.1056/NEJM197609092951103""> Read the study  &raquo;</a></p>"
8/30/1977,"Aug. 30, 1977","The FDA issues the first of two ""Notices of an Opportunity for Hearing"" to begin the process of withdrawing approval of the antibiotics pennicillin and tetracycline in animal feed except to treat disease. It also asks the National Academies of Science to study the human health effects of antibiotics in animal feed and suggest additional research needed.",,FDA Decisions,
1/1/1978,1978,"Congress intervenes before the FDA holds any hearings, and instructs the agency to hold off any actions until further research is done.",,FDA Decisions,
1/1/1980,1980,The National Academy of Sciences concludes that the existing data isn't enough to prove whether animal antibiotics pose a risk to humans. The Senate asks for additional research.,,,"
<object classid=""clsid:d27cdb6e-ae6d-11cf-96b8-444553540000"" codebase=""http://download.macromedia.com/pub/shockwave/cabs/flash/swflash.cab#version=8,0,0,0"" width=""175"" height=""250"" id=""napbookwrapper"" align=""middle"">
<param name=""allowScriptAccess"" value=""always"" />
<param name=""movie"" value=""http://www.nap.edu/napbookwrapper.swf"" />
<param name=""quality"" value=""high"" />
<param name=""wmode"" value=""transparent"" />
<param name=""flashvars"" value=""wid=381051989820120402130415&record_id=21"" />
<embed src=""http://www.nap.edu/napbookwrapper.swf"" quality=""high"" flashvars=""wid=381051989820120402130415&record_id=21"" wmode=""transparent"" bgcolor=""#ffffff"" width=""175"" height=""250"" name=""napbookwrapper"" align=""middle"" allowScriptAccess=""always"" allowFullScreen=""false"" type=""application/x-shockwave-flash"" pluginspage=""http://www.macromedia.com/go/getflashplayer""></embed>
</object>
"
1/1/1984,1984,"A study by the U.S. Public Health Service, FDA, and Seattle-King County Health Department finds that an antibiotic-resistant bacteria ""does appear to flow from chickens to man via consumption of poultry products.""",,Potential Health Risks,"<img src= ""https://www.propublica.org/images/fda_antibiotic_chick.jpg"" width=""400"" height= ""300""/> "
1/1/1988,1988,"After the FDA asks for an independent review, the Institute of Medicine reports that a considerable body of indirect evidence implicates antibiotic use in animals as a potential human health hazard.",,Potential Health Risks,
